order_date,sales_amount,profit,quantity,product_category,city,channel
2025-12-16,2033.75,245.13,17,Electronics,Boston,Wholesale
2025-12-01,895.58,224.02,2,Office Supplies,Chicago,Online
2025-08-18,1524.12,305.24,2,Office Supplies,Boston,Online
2025-10-01,2499.06,116.63,8,Electronics,New York,Direct
2025-03-14,865.07,150.23,25,Office Supplies,San Francisco,Wholesale
2025-12-18,145.94,65.51,2,Software,Chicago,Wholesale
2025-06-01,147.46,0.31,5,Furniture,Austin,Direct
2025-06-10,282.19,79.43,13,Electronics,Denver,Online
2025-08-11,793.13,114.16,5,Furniture,New York,Direct
2025-07-07,4500.0,736.36,11,Furniture,Seattle,Retail
2025-01-22,1952.48,439.14,7,Office Supplies,Boston,Online
2025-01-14,1235.37,417.32,16,Electronics,Boston,Online
2025-10-15,3421.72,270.54,1,Electronics,Seattle,Direct
2025-06-15,162.71,28.78,19,Office Supplies,Seattle,Retail
2025-03-06,1406.93,320.84,1,Office Supplies,Seattle,Direct
2025-09-08,930.04,97.56,13,Office Supplies,Chicago,Online
2025-03-21,1190.89,288.9,2,Office Supplies,San Francisco,Direct
2025-05-21,984.98,324.73,7,Electronics,Austin,Online
2025-03-24,410.03,89.84,3,Furniture,Austin,Online
2025-01-28,1091.91,174.12,1,Furniture,Austin,Online
2025-08-14,1725.24,369.5,1,Furniture,Chicago,Direct
2025-08-22,442.96,92.8,2,Furniture,Denver,Retail
2025-08-26,1172.32,90.02,36,Furniture,Boston,Wholesale
2025-10-01,1151.11,111.78,11,Electronics,Portland,Direct
2025-09-29,2081.53,315.32,10,Office Supplies,Boston,Online
2025-05-21,514.15,65.69,3,Furniture,New York,Direct
2025-02-23,2131.5,420.73,9,Software,Boston,Retail
2025-02-13,1348.57,159.04,9,Office Supplies,Boston,Direct
2025-08-10,1207.31,112.39,37,Office Supplies,New York,Wholesale
2025-11-20,3880.06,549.02,7,Software,Chicago,Wholesale
2025-09-11,1750.86,486.11,3,Electronics,Seattle,Retail
2025-06-12,891.85,211.51,4,Furniture,New York,Direct
2025-01-20,1230.26,359.59,1,Electronics,Portland,Direct
2025-11-12,2304.44,417.54,1,Electronics,New York,Wholesale
2025-07-20,4500.0,512.2,26,Electronics,San Francisco,Wholesale
2025-04-01,1893.65,342.16,7,Furniture,Seattle,Online
2025-01-11,444.49,67.46,10,Electronics,Austin,Retail
2025-10-19,1356.28,50.81,1,Office Supplies,Denver,Retail
2025-06-07,406.79,95.04,15,Office Supplies,Chicago,Retail
2025-05-08,530.71,-1.55,41,Software,New York,Wholesale
2025-05-22,1943.26,406.51,15,Furniture,New York,Retail
2025-07-26,184.92,11.41,4,Furniture,Austin,Direct
2025-10-04,590.45,-60.86,6,Software,San Francisco,Retail
2025-10-04,2439.69,-79.65,1,Office Supplies,Seattle,Retail
2025-07-01,2436.55,754.68,2,Electronics,Chicago,Direct
2025-06-12,1294.84,484.11,4,Electronics,San Francisco,Direct
2025-01-05,606.63,143.81,12,Electronics,San Francisco,Retail
2025-05-02,1686.69,142.36,1,Office Supplies,New York,Wholesale
2025-01-26,2007.26,233.77,22,Office Supplies,Chicago,Wholesale
2025-04-26,244.73,1.39,37,Office Supplies,Boston,Wholesale
2025-07-03,3643.2,805.36,16,Electronics,Boston,Online
2025-08-19,1802.61,594.01,13,Software,Seattle,Online
2025-06-13,1192.92,200.71,2,Electronics,Chicago,Wholesale
2025-08-02,1847.54,324.27,4,Furniture,Austin,Online
2025-12-10,1376.44,410.25,6,Software,New York,Direct
2025-01-24,1421.6,79.84,2,Furniture,Denver,Direct
2025-09-17,1398.2,236.75,14,Furniture,Austin,Online
2025-07-19,495.77,43.95,21,Electronics,San Francisco,Wholesale
2025-12-16,2145.46,477.9,6,Office Supplies,San Francisco,Direct
2025-04-12,344.46,39.65,4,Software,Austin,Online
2025-01-01,1416.3,373.31,7,Furniture,Chicago,Direct
2025-09-13,777.3,298.9,1,Electronics,Austin,Direct
2025-04-17,638.09,137.18,3,Software,Denver,Direct
2025-12-11,1371.22,300.78,10,Furniture,Austin,Online
2025-04-13,1758.2,138.46,8,Furniture,Chicago,Online
2025-07-24,3770.95,1363.0,5,Electronics,New York,Retail
2025-01-18,1419.06,209.54,14,Office Supplies,Portland,Online
2025-06-24,1328.46,333.12,6,Office Supplies,New York,Direct
2025-04-11,130.67,24.84,28,Electronics,Denver,Wholesale
2025-01-05,1370.56,464.92,10,Electronics,Portland,Retail
2025-12-14,137.05,0.91,13,Software,Portland,Online
2025-06-06,690.74,214.8,1,Electronics,Austin,Retail
2025-10-06,434.02,21.05,9,Electronics,Austin,Direct
2025-12-09,666.44,113.8,12,Office Supplies,New York,Retail
2025-06-19,1529.45,446.29,3,Software,Denver,Direct
2025-06-17,850.05,351.17,5,Electronics,Portland,Direct
2025-11-29,1204.28,336.72,3,Electronics,Austin,Direct
2025-12-19,2193.93,291.27,1,Office Supplies,Boston,Retail
2025-10-04,2067.48,30.44,1,Furniture,New York,Direct
2025-04-15,1575.9,387.45,11,Electronics,Seattle,Direct
2025-11-29,497.8,138.43,15,Software,Austin,Online
2025-01-23,338.49,69.28,16,Electronics,New York,Wholesale
2025-12-24,655.9,126.02,20,Furniture,Chicago,Retail
2025-01-10,568.59,94.84,43,Office Supplies,Boston,Wholesale
2025-08-26,85.42,-18.38,10,Furniture,Denver,Retail
2025-04-13,568.91,256.49,12,Electronics,Boston,Retail
2025-10-14,2898.62,30.04,1,Office Supplies,Seattle,Direct
2025-01-06,2180.54,328.34,30,Software,New York,Wholesale
2025-11-21,354.62,17.5,9,Office Supplies,Denver,Direct
2025-08-30,1235.73,274.54,4,Electronics,Chicago,Retail
2025-09-08,817.02,175.1,2,Office Supplies,Boston,Direct
2025-08-15,559.24,87.74,11,Software,Boston,Direct
2025-02-06,1857.68,272.6,8,Furniture,Seattle,Direct
2025-11-10,877.92,154.22,7,Office Supplies,New York,Retail
2025-03-24,203.26,27.76,35,Office Supplies,Portland,Wholesale
2025-07-02,3759.05,280.99,39,Furniture,Denver,Wholesale
2025-10-09,1683.11,60.29,1,Furniture,San Francisco,Direct
2025-04-05,2021.25,414.33,3,Furniture,New York,Online
2025-09-30,1289.97,210.84,12,Office Supplies,Austin,Retail
2025-04-10,1513.84,232.8,30,Furniture,San Francisco,Wholesale
2025-07-01,3460.61,728.85,1,Software,New York,Direct
2025-06-16,1536.9,306.44,5,Electronics,New York,Direct
2025-03-07,466.26,88.58,3,Furniture,Portland,Direct
2025-10-28,821.46,-37.98,1,Office Supplies,Portland,Retail
2025-07-01,504.26,-7.26,10,Office Supplies,Austin,Wholesale
2025-09-04,527.96,162.78,20,Office Supplies,Chicago,Retail
2025-07-29,1032.54,89.42,34,Software,Seattle,Wholesale
2025-07-24,1991.51,268.45,12,Furniture,Boston,Online
2025-05-10,576.62,78.51,24,Office Supplies,Denver,Wholesale
2025-08-25,1532.74,472.72,5,Software,Boston,Online
2025-08-03,3637.49,1321.34,10,Electronics,Seattle,Direct
2025-09-30,773.26,121.97,11,Furniture,New York,Direct
2025-11-16,1485.27,404.75,5,Software,New York,Retail
2025-01-05,727.6,171.41,35,Electronics,Denver,Wholesale
2025-11-25,1444.51,240.0,14,Software,Seattle,Online
2025-08-01,1357.09,497.57,14,Electronics,Denver,Online
2025-09-05,2276.35,331.64,4,Furniture,Boston,Direct
2025-11-18,2056.9,627.08,18,Electronics,Chicago,Retail
2025-04-18,240.98,1.0,30,Furniture,Portland,Wholesale
2025-11-17,744.39,43.74,21,Furniture,Boston,Wholesale
2025-06-16,1304.53,444.12,10,Software,New York,Retail
2025-09-26,925.69,223.04,6,Software,New York,Retail
2025-07-25,878.83,222.2,7,Software,Denver,Direct
2025-12-02,458.85,7.54,32,Furniture,Denver,Wholesale
2025-05-15,820.41,198.51,37,Electronics,Chicago,Wholesale
2025-09-26,778.02,180.84,10,Software,Chicago,Direct
2025-06-19,1930.33,634.28,1,Electronics,New York,Retail
2025-08-30,1773.46,260.21,22,Office Supplies,Portland,Retail
2025-05-09,1043.66,198.12,5,Electronics,Chicago,Wholesale
2025-11-24,1864.33,420.93,7,Furniture,Austin,Online
2025-10-01,1497.57,10.83,19,Software,San Francisco,Wholesale
2025-01-15,205.62,15.34,3,Office Supplies,Seattle,Retail
2025-09-14,2164.67,830.17,10,Software,San Francisco,Direct
2025-05-04,906.58,49.58,46,Office Supplies,Boston,Wholesale
2025-12-23,1228.12,454.89,14,Electronics,Seattle,Online
2025-08-10,712.11,180.12,1,Electronics,Austin,Retail
2025-06-08,1497.75,332.2,13,Office Supplies,Portland,Online
2025-12-31,294.42,79.44,12,Office Supplies,Chicago,Retail
2025-06-04,360.34,177.94,12,Software,Denver,Online
2025-03-02,883.49,170.51,16,Office Supplies,San Francisco,Online
2025-01-31,1328.42,320.37,11,Electronics,Portland,Direct
2025-01-10,2474.69,494.6,1,Furniture,San Francisco,Direct
2025-05-12,1394.66,216.52,5,Furniture,Boston,Retail
2025-01-22,1155.53,139.24,19,Furniture,New York,Wholesale
2025-05-03,999.44,164.23,5,Furniture,Boston,Online
2025-12-16,1161.44,149.84,18,Software,Austin,Retail
2025-09-27,1630.86,303.99,5,Office Supplies,San Francisco,Direct
2025-12-08,565.95,88.77,29,Software,Portland,Wholesale
2025-04-25,1597.15,235.76,8,Furniture,Portland,Direct
2025-08-12,1525.99,237.89,8,Furniture,Chicago,Direct
2025-09-28,1423.09,232.71,5,Furniture,Denver,Online
2025-02-11,1720.95,422.09,3,Software,New York,Direct
2025-01-29,688.32,189.93,1,Furniture,Boston,Online
2025-06-05,1291.02,302.65,6,Electronics,Austin,Retail
2025-04-25,1441.17,156.26,20,Office Supplies,Portland,Retail
2025-01-18,2190.3,352.95,11,Office Supplies,Seattle,Retail
2025-12-09,1130.61,405.37,3,Software,Seattle,Direct
2025-12-28,880.33,102.26,32,Office Supplies,New York,Wholesale
2025-01-31,1823.27,322.0,17,Office Supplies,Denver,Online
2025-08-17,784.02,59.83,5,Software,Portland,Wholesale
2025-02-10,1680.31,312.9,10,Software,Austin,Online
2025-10-08,505.73,-23.27,6,Office Supplies,Portland,Wholesale
2025-09-01,1938.7,146.98,35,Furniture,San Francisco,Wholesale
2025-01-13,2151.85,632.6,2,Electronics,Austin,Direct
2025-10-09,912.35,1.69,15,Office Supplies,Austin,Retail
2025-04-18,2035.86,326.61,2,Office Supplies,New York,Online
2025-11-04,1833.95,147.93,12,Office Supplies,New York,Wholesale
2025-02-16,572.72,109.58,13,Software,Boston,Online
2025-05-26,1021.8,319.89,14,Electronics,Austin,Online
2025-07-23,961.84,62.53,17,Furniture,Denver,Wholesale
2025-12-14,1500.07,580.17,11,Electronics,Chicago,Direct
2025-08-27,206.5,70.99,5,Office Supplies,Portland,Direct
2025-09-05,1786.98,232.23,8,Furniture,Austin,Retail
2025-07-25,1139.59,192.6,12,Software,Seattle,Direct
2025-03-25,826.66,262.27,9,Electronics,Chicago,Online
2025-01-14,859.76,85.26,1,Furniture,New York,Direct
2025-04-15,1009.2,316.63,2,Software,San Francisco,Direct
2025-11-19,2551.45,217.03,3,Software,Seattle,Wholesale
2025-02-15,515.09,37.37,7,Furniture,Denver,Wholesale
2025-02-01,1822.96,362.06,14,Software,Denver,Online
2025-01-09,903.65,78.93,44,Furniture,Austin,Wholesale
2025-03-30,1649.46,102.5,30,Office Supplies,San Francisco,Wholesale
2025-03-02,1066.93,128.6,9,Furniture,Portland,Online
2025-04-04,1248.28,319.92,6,Office Supplies,New York,Direct
2025-07-29,3793.7,831.31,13,Office Supplies,Seattle,Retail
2025-02-18,743.03,227.08,8,Software,New York,Online
2025-01-23,567.4,136.88,2,Software,New York,Retail
2025-10-09,295.76,70.29,5,Furniture,Denver,Online
2025-02-15,2654.69,479.49,17,Electronics,New York,Wholesale
2025-12-08,2872.93,639.36,8,Electronics,Boston,Retail
2025-10-22,512.56,44.83,33,Software,Denver,Wholesale
2025-02-10,1297.43,283.3,18,Software,San Francisco,Retail
2025-02-11,1790.8,261.12,3,Furniture,San Francisco,Retail
2025-03-21,1902.02,804.83,2,Electronics,Portland,Direct
2025-11-24,966.97,158.65,3,Furniture,Portland,Direct
2025-02-24,521.55,62.38,5,Furniture,New York,Online
2025-11-05,356.63,83.37,14,Office Supplies,San Francisco,Online
2025-01-30,134.61,24.7,2,Office Supplies,Portland,Online
2025-06-26,165.78,25.03,14,Software,Chicago,Wholesale
2025-06-23,848.24,69.99,4,Furniture,Denver,Direct
2025-12-08,1169.63,441.08,12,Electronics,Chicago,Retail
2025-08-02,2330.34,279.49,18,Office Supplies,San Francisco,Retail
2025-01-14,554.0,92.83,12,Electronics,Portland,Retail
2025-06-24,1862.87,226.06,8,Furniture,Denver,Online
2025-08-23,946.35,251.2,16,Software,Boston,Retail
2025-12-21,823.64,64.38,19,Software,Portland,Wholesale
2025-03-14,886.5,168.35,6,Software,New York,Retail
2025-09-26,2199.62,740.03,8,Electronics,Chicago,Online
2025-08-06,468.35,89.92,8,Furniture,Austin,Online
2025-09-08,841.91,249.49,7,Software,Austin,Direct
2025-09-14,363.27,116.55,3,Software,Chicago,Direct
2025-09-10,1170.9,147.0,7,Software,Austin,Wholesale
2025-08-27,982.43,270.67,10,Electronics,Boston,Online
2025-10-26,776.75,-1.01,4,Electronics,Austin,Direct
2025-03-29,790.73,295.43,9,Electronics,New York,Direct
2025-05-16,1498.07,297.2,6,Office Supplies,Boston,Direct
2025-02-28,830.27,334.34,5,Software,New York,Direct
2025-06-02,599.88,177.11,1,Software,New York,Direct
2025-08-06,1621.55,303.0,7,Furniture,Austin,Online
2025-03-02,913.55,322.86,11,Software,Seattle,Direct
2025-07-17,4500.0,1268.52,1,Office Supplies,Seattle,Direct
2025-12-26,1432.61,157.45,12,Furniture,Denver,Online
2025-09-13,2013.35,163.38,12,Furniture,Portland,Wholesale
2025-10-29,2990.74,76.89,16,Office Supplies,Seattle,Retail
2025-10-11,1520.38,-22.59,4,Office Supplies,Seattle,Direct
2025-07-06,1878.28,399.77,6,Electronics,San Francisco,Online
2025-07-21,2944.72,250.23,3,Office Supplies,Denver,Wholesale
2025-03-09,2368.82,400.8,26,Electronics,Seattle,Wholesale
2025-01-22,1676.45,164.99,40,Furniture,San Francisco,Wholesale
2025-01-24,1115.2,245.37,5,Furniture,Austin,Online
2025-03-31,1655.66,216.21,3,Furniture,Portland,Online
2025-03-24,672.3,110.56,19,Electronics,New York,Wholesale
2025-09-16,399.49,107.96,14,Electronics,Boston,Wholesale
2025-08-18,2113.41,152.28,34,Office Supplies,New York,Wholesale
2025-09-15,908.06,145.13,3,Furniture,New York,Retail
2025-07-25,2948.23,815.94,6,Office Supplies,Boston,Direct
2025-12-31,1531.88,340.92,3,Office Supplies,Austin,Online
2025-09-22,3940.52,919.69,7,Electronics,Seattle,Online
2025-02-06,192.24,70.6,2,Software,San Francisco,Direct
2025-03-03,1525.11,587.87,19,Electronics,Portland,Retail
2025-12-24,2132.59,468.01,38,Electronics,Boston,Wholesale
2025-05-14,1136.84,236.36,1,Software,Chicago,Retail
2025-02-12,546.23,255.19,9,Electronics,Boston,Direct
2025-09-16,1464.18,444.42,5,Software,San Francisco,Retail
2025-12-25,686.21,200.25,10,Software,Austin,Direct
2025-06-29,2236.86,587.32,3,Office Supplies,San Francisco,Direct
2025-07-02,1976.86,501.34,15,Office Supplies,San Francisco,Online
2025-06-30,2241.04,529.04,14,Office Supplies,Boston,Retail
2025-11-21,2031.99,497.91,3,Electronics,Seattle,Direct
2025-08-23,1529.07,86.82,31,Office Supplies,Denver,Wholesale
2025-03-09,588.9,170.89,3,Software,Portland,Direct
2025-10-13,1804.49,10.11,2,Software,Boston,Retail
2025-04-08,808.19,143.47,7,Furniture,Chicago,Online
2025-07-02,3545.21,970.56,5,Software,San Francisco,Retail
2025-01-03,800.9,59.3,34,Software,San Francisco,Wholesale
2025-02-01,792.64,99.35,6,Furniture,Chicago,Retail
2025-05-24,2056.39,257.4,15,Office Supplies,Chicago,Retail
2025-04-04,2009.03,158.43,21,Software,San Francisco,Wholesale
2025-07-15,2383.54,406.03,8,Furniture,Chicago,Direct
2025-02-06,319.89,53.45,14,Office Supplies,Denver,Online
2025-02-24,539.82,113.41,5,Software,Chicago,Direct
2025-11-03,1625.76,384.74,11,Office Supplies,San Francisco,Online
2025-05-16,620.39,147.84,1,Software,Austin,Retail
2025-01-17,124.42,45.7,8,Electronics,Portland,Online
2025-05-24,1310.43,487.79,11,Electronics,Boston,Direct
2025-09-07,1333.82,536.67,11,Electronics,Chicago,Direct
2025-04-17,2430.35,590.3,1,Electronics,Chicago,Retail
2025-09-11,393.87,65.94,6,Furniture,Austin,Online
2025-03-24,1008.36,396.28,3,Software,Austin,Direct
2025-11-12,1809.76,114.51,14,Office Supplies,Austin,Wholesale
2025-10-01,1987.83,91.06,1,Electronics,Portland,Direct
2025-12-02,701.76,58.59,43,Office Supplies,Denver,Wholesale
2025-11-13,1339.71,188.4,6,Software,New York,Online
2025-02-22,1408.92,136.07,3,Office Supplies,Portland,Online
2025-01-25,478.36,83.1,1,Office Supplies,Denver,Direct
2025-12-14,1390.52,245.9,2,Electronics,Seattle,Online
2025-07-26,2279.76,396.16,7,Office Supplies,Denver,Online
2025-04-22,1374.21,198.16,2,Furniture,San Francisco,Online
2025-07-21,1051.1,218.39,2,Software,Boston,Retail
2025-02-13,2082.87,369.96,9,Office Supplies,New York,Online
2025-07-19,4118.49,569.9,21,Software,New York,Wholesale
2025-08-18,1568.42,423.12,1,Software,Portland,Direct
2025-05-14,1162.46,205.22,9,Furniture,San Francisco,Online
2025-07-26,4500.0,886.13,8,Software,Seattle,Online
2025-05-15,2360.26,552.88,1,Software,Seattle,Online
2025-06-15,4500.0,408.36,27,Office Supplies,Seattle,Wholesale
2025-10-08,1828.78,57.21,14,Software,Chicago,Online
2025-04-08,488.93,54.94,26,Office Supplies,Chicago,Wholesale
2025-07-16,4500.0,650.32,1,Furniture,Chicago,Retail
2025-11-28,1091.24,66.38,28,Furniture,Portland,Wholesale
2025-02-09,1278.83,240.28,16,Furniture,Austin,Online
2025-09-13,1457.92,465.99,18,Electronics,Denver,Retail
2025-05-02,1222.9,274.67,7,Office Supplies,Portland,Retail
2025-11-14,2088.34,382.33,16,Office Supplies,New York,Retail
2025-09-20,1762.55,494.55,8,Electronics,Denver,Online
2025-08-05,1740.63,472.74,5,Electronics,Portland,Retail
2025-10-07,1250.23,-28.2,14,Furniture,San Francisco,Retail
2025-05-19,346.74,16.66,10,Furniture,Portland,Wholesale
2025-05-01,384.21,224.56,8,Electronics,Seattle,Online
2025-06-14,257.27,60.14,4,Furniture,Seattle,Online
2025-04-06,1039.61,128.07,18,Office Supplies,San Francisco,Retail
2025-06-07,1732.95,189.31,6,Furniture,Portland,Direct
2025-12-20,1430.16,322.42,9,Furniture,Boston,Direct
2025-10-16,364.15,-10.41,8,Electronics,Boston,Online
2025-09-10,739.43,106.89,34,Software,Austin,Wholesale
2025-09-10,1865.95,411.07,9,Office Supplies,Austin,Online
2025-02-05,2305.6,313.25,7,Software,Boston,Wholesale
2025-11-29,1558.03,287.12,3,Software,Denver,Online
2025-09-23,2251.55,441.8,19,Office Supplies,Boston,Retail
2025-08-29,283.81,54.93,19,Electronics,Denver,Wholesale
2025-09-17,652.58,151.54,15,Office Supplies,Boston,Retail
2025-09-09,2092.09,191.12,17,Furniture,Boston,Retail
2025-02-16,1332.95,397.11,8,Electronics,Denver,Online
2025-10-09,2481.88,54.0,33,Electronics,San Francisco,Wholesale
2025-12-20,2033.95,352.26,1,Furniture,New York,Direct
2025-06-20,1108.82,178.74,3,Furniture,Portland,Retail
2025-11-21,2680.4,490.63,6,Electronics,Seattle,Retail
2025-06-07,1310.66,515.31,3,Electronics,Seattle,Direct
2025-05-03,1501.45,308.95,3,Electronics,Denver,Online
2025-09-08,1848.9,332.69,13,Furniture,San Francisco,Direct
2025-01-23,1613.58,435.36,9,Electronics,New York,Direct
2025-10-23,2942.86,-25.57,10,Office Supplies,Seattle,Online
2025-02-22,959.88,226.94,5,Software,Portland,Online
2025-09-15,2580.05,81.86,42,Furniture,San Francisco,Wholesale
2025-01-09,361.93,44.5,1,Furniture,Chicago,Online
2025-01-26,626.87,58.6,8,Software,Portland,Wholesale
2025-10-23,2343.61,14.8,12,Furniture,San Francisco,Wholesale
2025-02-28,1989.17,193.28,6,Furniture,Portland,Online
2025-12-14,612.81,224.67,14,Software,New York,Online
2025-09-11,1921.75,380.31,13,Software,New York,Online
2025-11-11,1902.3,385.06,42,Electronics,Austin,Wholesale
2025-02-05,4078.41,1579.49,12,Electronics,San Francisco,Retail
2025-01-29,4325.42,612.49,8,Furniture,Boston,Direct
2025-05-13,369.56,95.73,5,Software,Boston,Direct
2025-10-30,2163.31,66.39,11,Electronics,Denver,Direct
2025-05-25,462.68,96.32,15,Electronics,Denver,Retail
2025-10-04,781.35,5.08,9,Software,Denver,Online
2025-06-17,283.08,57.84,1,Office Supplies,Boston,Online
2025-06-05,1202.94,235.77,3,Software,Seattle,Direct
2025-04-22,837.97,165.34,12,Electronics,Denver,Retail
2025-11-28,2454.0,511.26,11,Software,Seattle,Retail
2025-06-12,2204.12,390.42,16,Furniture,Boston,Retail
2025-12-22,1514.44,177.13,1,Office Supplies,New York,Retail
2025-02-05,1498.3,149.05,22,Furniture,New York,Wholesale
2025-11-08,1737.19,87.08,27,Furniture,New York,Wholesale
2025-02-21,1176.9,487.1,9,Electronics,Boston,Direct
2025-12-21,499.13,133.95,8,Office Supplies,Portland,Wholesale
2025-04-23,1266.84,138.68,4,Furniture,Chicago,Direct
2025-08-30,171.39,23.37,13,Office Supplies,Boston,Direct
2025-12-25,3149.54,566.21,22,Electronics,Seattle,Wholesale
2025-06-18,1149.61,183.52,10,Software,Portland,Wholesale
2025-12-15,709.53,113.68,4,Electronics,San Francisco,Retail
2025-08-01,417.98,82.37,14,Furniture,Boston,Online
2025-11-23,2394.51,180.53,10,Furniture,Seattle,Wholesale
2025-05-22,1677.37,379.38,7,Electronics,Austin,Retail
2025-06-23,871.38,112.78,8,Furniture,Portland,Direct
2025-12-07,746.76,302.94,11,Electronics,Portland,Retail
2025-05-29,1700.76,401.66,8,Furniture,San Francisco,Online
2025-09-21,720.1,210.96,2,Office Supplies,San Francisco,Direct
2025-11-08,1493.18,209.74,43,Electronics,Denver,Wholesale
2025-09-21,735.88,102.42,37,Software,San Francisco,Wholesale
2025-09-25,1793.09,286.95,2,Software,Denver,Online
2025-04-01,459.28,112.43,3,Office Supplies,Portland,Direct
2025-03-28,693.78,116.37,1,Electronics,Chicago,Online
2025-08-09,925.76,75.28,18,Furniture,New York,Retail
